SpielTyp;Spielstatus;Bezeichnung;Spielnummer;TagKurz;Spieldatum;Spielzeit;Teamname A;TeamLiga A;Vereinsnummer A;Teamname B;TeamLiga B;Vereinsnummer B;Spielort;Sportanlage;Ort;Wettspielfeld;
"Meisterschaft";"";"3. Liga / - / Gruppe  5";"117587";"Sa";"01.05.2021";"16:30";"FC Länggasse";"3.";"10311";"FC Bolligen b";"3.";"10346";"Länggasse, Bern - Fussballfeld Länggasse";"Länggasse";"Bern";"Fussballfeld Länggasse";
"Meisterschaft";"";"2. Liga / Regional / Gruppe  1";"111763";"So";"02.05.2021";"10:00";"FC Länggasse";"2.";"10311";"FC Prishtina Bern";"2.";"10354";"Länggasse, Bern - Fussballfeld Länggasse";"Länggasse";"Bern";"Fussballfeld Länggasse";
"Meisterschaft";"";"4. Liga / - / Gruppe  4";"116757";"So";"02.05.2021";"12:30";"FC Länggasse";"4.";"10311";"SC Worb";"4.";"10328";"Länggasse, Bern - Fussballfeld Länggasse";"Länggasse";"Bern";"Fussballfeld Länggasse";
"Meisterschaft";"";"4. Liga / - / Gruppe  4";"116762";"Sa";"08.05.2021";"";"FC Belp b";"4.";"10301";"FC Länggasse";"4.";"10311";"Giessenbad, Belp - Kunststoffrasenplatz";"Giessenbad";"Belp";"Kunststoffrasenplatz";
"Meisterschaft";"";"2. Liga / Regional / Gruppe  1";"111766";"Sa";"08.05.2021";"17:00";"FC Rothorn";"2.";"10501";"FC Länggasse";"2.";"10311";"Schwanden, Schwanden b.Brienz - Lamm";"Schwanden";"Schwanden b.Brienz";"Lamm";
"Meisterschaft";"";"3. Liga / - / Gruppe  5";"117590";"Sa";"08.05.2021";"17:30";"FC Zollikofen";"3.";"10331";"FC Länggasse";"3.";"10311";"Gemeindesportplatz, Zollikofen - Hauptplatz";"Gemeindesportplatz";"Zollikofen";"Hauptplatz";
"Meisterschaft";"";"Frauen 3. Liga / - / Gruppe  1";"113559";"Sa";"08.05.2021";"19:30";"SC Holligen 94";"3.LF";"10318";"FC Länggasse";"3.LF";"10311";"Steigerhubel, Bern - Fussballfeld Steigerhubel 1";"Steigerhubel";"Bern";"Fussballfeld Steigerhubel 1";
"Meisterschaft";"";"3. Liga / - / Gruppe  5";"117600";"Sa";"15.05.2021";"16:30";"FC Länggasse";"3.";"10311";"FC Iberico Bienne";"3.";"10238";"Länggasse, Bern - Fussballfeld Länggasse";"Länggasse";"Bern";"Fussballfeld Länggasse";
"Meisterschaft";"";"2. Liga / Regional / Gruppe  1";"111776";"So";"16.05.2021";"10:00";"FC Länggasse";"2.";"10311";"AS Italiana";"2.";"10333";"Länggasse, Bern - Fussballfeld Länggasse";"Länggasse";"Bern";"Fussballfeld Länggasse";
"Meisterschaft";"";"Frauen 3. Liga / - / Gruppe  1";"113524";"So";"16.05.2021";"12:30";"FC Länggasse";"3.LF";"10311";"FC Frutigen";"3.LF";"10504";"Länggasse, Bern - Fussballfeld Länggasse";"Länggasse";"Bern";"Fussballfeld Länggasse";
