SpielTyp;Spielstatus;Bezeichnung;Spielnummer;TagKurz;Spieldatum;Spielzeit;Teamname A;TeamLiga A;Vereinsnummer A;Teamname B;TeamLiga B;Vereinsnummer B;Spielort;Sportanlage;Ort;Wettspielfeld;
"Meisterschaft";"";"Senioren 30+ / MFV - Herbstrunde / Gruppe  2";"119203";"Sa";"05.09.2020";"14:00";"FC Länggasse";"Sen.30+";"10311";"NK Tomislavgrad Bern";"Sen.30+";"10392";"Länggasse, Bern - Fussballfeld Länggasse";"Länggasse";"Bern";"Fussballfeld Länggasse";
"Meisterschaft";"";"Junioren B 2. Stärkeklasse / Herbstrunde / Gruppe  2";"112402";"Sa";"05.09.2020";"15:00";"SC Grafenried";"Jun.B 2/S";"10307";"FC Länggasse";"Jun.B 2/S";"10311";"Riedweg, Grafenried - Süd";"Riedweg";"Grafenried";"Süd";
"Meisterschaft";"";"Junioren D/9 / MFV - Stkl. 2 - Herbstrunde / Gruppe  1";"126366";"Sa";"05.09.2020";"16:30";"FC Länggasse a";"Jun.D/9";"10311";"FC Ostermundigen b";"Jun.D/9";"10317";"Länggasse, Bern - Fussballfeld Länggasse";"Länggasse";"Bern";"Fussballfeld Länggasse";
"Meisterschaft";"";"3. Liga / - / Gruppe  5";"117513";"Sa";"05.09.2020";"16:30";"FC Länggasse";"3.";"10311";"SV Lyss";"3.";"10215";"Stadion Neufeld, Bern - Kunstrasenfeld Neufeld 1";"Stadion Neufeld";"Bern";"Kunstrasenfeld Neufeld 1";
"Meisterschaft";"";"Junioren D/9 / MFV - Stkl. 3 - Herbstrunde / Gruppe  2";"126574";"So";"06.09.2020";"10:00";"FC Länggasse b";"Jun.D/9";"10311";"FC Gerzensee";"Jun.D/9";"10380";"Länggasse, Bern - Fussballfeld Länggasse";"Länggasse";"Bern";"Fussballfeld Länggasse";
"Meisterschaft";"";"2. Liga / Regional / Gruppe  1";"111689";"So";"06.09.2020";"10:00";"FC Länggasse";"2.";"10311";"FC Bern 1894";"2.";"10302";"Stadion Neufeld, Bern - Kunstrasenfeld Neufeld 1";"Stadion Neufeld";"Bern";"Kunstrasenfeld Neufeld 1";
"Meisterschaft";"";"Juniorinnen FF-12 / Herbstrunde / -";"113886";"So";"06.09.2020";"12:30";"FC Länggasse";"FF-12";"10311";"FC Ostermundigen b";"FF-12";"10317";"Länggasse, Bern - Fussballfeld Länggasse";"Länggasse";"Bern";"Fussballfeld Länggasse";
"Meisterschaft";"";"Junioren C 2. Stärkeklasse / Herbstrunde / Gruppe  3";"112549";"So";"06.09.2020";"13:00";"FC Ostermundigen b";"Jun.C 2/S";"10317";"FC Länggasse b";"Jun.C 2/S";"10311";"Oberfeld, Ostermundigen - Hauptplatz";"Oberfeld";"Ostermundigen";"Hauptplatz";
"Meisterschaft";"";"Junioren C 1. Stärkeklasse / Herbstrunde / Gruppe  2";"111645";"So";"06.09.2020";"15:00";"FC Länggasse a";"Jun.C 1/S";"10311";"FC Bolligen";"Jun.C 1/S";"10346";"Stadion Neufeld, Bern - Kunstrasenfeld Neufeld 1";"Stadion Neufeld";"Bern";"Kunstrasenfeld Neufeld 1";
"Meisterschaft";"";"Frauen 3. Liga / - / Gruppe  1";"113501";"So";"06.09.2020";"15:00";"FC Länggasse";"3.LF";"10311";"SC Thörishaus";"3.LF";"10381";"Stadion Neufeld, Bern - Kunstrasenfeld Neufeld 2";"Stadion Neufeld";"Bern";"Kunstrasenfeld Neufeld 2";
"Meisterschaft";"";"4. Liga / - / Gruppe  4";"116685";"So";"06.09.2020";"15:00";"FC Länggasse";"4.";"10311";"AS Ital Fulgor";"4.";"10395";"Länggasse, Bern - Fussballfeld Länggasse";"Länggasse";"Bern";"Fussballfeld Länggasse";
"Meisterschaft";"";"3. Liga / - / Gruppe  5";"117521";"Fr";"11.09.2020";"19:45";"FC Bolligen b";"3.";"10346";"FC Länggasse";"3.";"10311";"Sportplatz Wegmühle, Bolligen - Hauptplatz";"Sportplatz Wegmühle";"Bolligen";"Hauptplatz";
"Meisterschaft";"";"Senioren 30+ / MFV - Herbstrunde / Gruppe  2";"119206";"Fr";"11.09.2020";"20:30";"FC Prishtina Bern";"Sen.30+";"10354";"FC Länggasse";"Sen.30+";"10311";"Bodenweid, Bern - Kunstrasenfeld Bodenweid 2";"Bodenweid";"Bern";"Kunstrasenfeld Bodenweid 2";
"Meisterschaft";"";"Junioren C 1. Stärkeklasse / Herbstrunde / Gruppe  2";"111652";"Sa";"12.09.2020";"11:00";"SC Münchenbuchsee a";"Jun.C 1/S";"10314";"FC Länggasse a";"Jun.C 1/S";"10311";"Hirzenfeld, Münchenbuchsee - Hirzenfeld";"Hirzenfeld";"Münchenbuchsee";"Hirzenfeld";
"Meisterschaft";"";"Junioren D/9 / MFV - Stkl. 2 - Herbstrunde / Gruppe  1";"126370";"Sa";"12.09.2020";"13:00";"SC Worb a";"Jun.D/9";"10328";"FC Länggasse a";"Jun.D/9";"10311";"Worbboden, Worb - Nebenplatz 1 (Spielwiese)";"Worbboden";"Worb";"Nebenplatz 1 (Spielwiese)";
"Meisterschaft";"";"Junioren D/9 / MFV - Stkl. 3 - Herbstrunde / Gruppe  2";"126577";"Sa";"12.09.2020";"15:00";"Team Grauholz b";"Jun.D/9";"10335";"FC Länggasse b";"Jun.D/9";"10311";"Hubelgut, Worblaufen - Hauptplatz";"Hubelgut";"Worblaufen";"Hauptplatz";
"Meisterschaft";"";"2. Liga / Regional / Gruppe  1";"111697";"Sa";"12.09.2020";"19:00";"FC Prishtina Bern";"2.";"10354";"FC Länggasse";"2.";"10311";"Bodenweid, Bern - Kunstrasenfeld Bodenweid 2";"Bodenweid";"Bern";"Kunstrasenfeld Bodenweid 2";
"Meisterschaft";"";"Juniorinnen FF-12 / Herbstrunde / -";"113887";"So";"13.09.2020";"11:30";"FC Wyler";"FF-12";"10308";"FC Länggasse";"FF-12";"10311";"Wyler, Bern - Kunstrasenfeld Wyler";"Wyler";"Bern";"Kunstrasenfeld Wyler";
"Meisterschaft";"";"Junioren B 2. Stärkeklasse / Herbstrunde / Gruppe  2";"112411";"So";"13.09.2020";"12:30";"FC Länggasse";"Jun.B 2/S";"10311";"SC Wohlensee / Radelfingen";"Jun.B 2/S";"10390";"Länggasse, Bern - Fussballfeld Länggasse";"Länggasse";"Bern";"Fussballfeld Länggasse";
"Meisterschaft";"";"4. Liga / - / Gruppe  4";"116691";"So";"13.09.2020";"13:00";"SC Worb";"4.";"10328";"FC Länggasse";"4.";"10311";"Niederhaus (Worb-Richigen), Worb - Nebenplatz";"Niederhaus (Worb-Richigen)";"Worb";"Nebenplatz";
"Meisterschaft";"";"Junioren C 2. Stärkeklasse / Herbstrunde / Gruppe  3";"112558";"Di";"15.09.2020";"18:30";"SC Wohlensee a";"Jun.C 2/S";"10390";"FC Länggasse b";"Jun.C 2/S";"10311";"Ey, Hinterkappelen - Nebenplatz";"Ey";"Hinterkappelen";"Nebenplatz";
"Meisterschaft";"";"Senioren 30+ / MFV - Herbstrunde / Gruppe  2";"119210";"Sa";"19.09.2020";"14:00";"FC Länggasse";"Sen.30+";"10311";"SC Holligen 94";"Sen.30+";"10318";"Länggasse, Bern - Fussballfeld Länggasse";"Länggasse";"Bern";"Fussballfeld Länggasse";
"Meisterschaft";"";"3. Liga / - / Gruppe  5";"117524";"Sa";"19.09.2020";"16:30";"FC Länggasse";"3.";"10311";"FC Zollikofen";"3.";"10331";"Stadion Neufeld, Bern - Kunstrasenfeld Neufeld 1";"Stadion Neufeld";"Bern";"Kunstrasenfeld Neufeld 1";
"Meisterschaft";"";"4. Liga / - / Gruppe  4";"116696";"Sa";"19.09.2020";"16:30";"FC Länggasse";"4.";"10311";"FC Belp b";"4.";"10301";"Länggasse, Bern - Fussballfeld Länggasse";"Länggasse";"Bern";"Fussballfeld Länggasse";
"Meisterschaft";"";"Frauen 3. Liga / - / Gruppe  1";"113506";"Sa";"19.09.2020";"18:00";"FC Weissenstein Bern";"3.LF";"10323";"FC Länggasse";"3.LF";"10311";"Weissenstein, Bern - Fussballfeld Weissenstein 1";"Weissenstein";"Bern";"Fussballfeld Weissenstein 1";
"Meisterschaft";"";"3. Liga / - / Gruppe  5";"117534";"Sa";"26.09.2020";"15:00";"FC Iberico Bienne";"3.";"10238";"FC Länggasse";"3.";"10311";"Längfeld 2, Biel - Hauptplatz";"Längfeld 2";"Biel";"Hauptplatz";
"Meisterschaft";"";"2. Liga / Regional / Gruppe  1";"111700";"So";"27.09.2020";"10:00";"FC Länggasse";"2.";"10311";"FC Rothorn";"2.";"10501";"Stadion Neufeld, Bern - Kunstrasenfeld Neufeld 1";"Stadion Neufeld";"Bern";"Kunstrasenfeld Neufeld 1";
"Meisterschaft";"";"Frauen 3. Liga / - / Gruppe  1";"113508";"So";"27.09.2020";"12:30";"FC Länggasse";"3.LF";"10311";"FC Schüpfen";"3.LF";"10321";"Länggasse, Bern - Fussballfeld Länggasse";"Länggasse";"Bern";"Fussballfeld Länggasse";
"Meisterschaft";"";"4. Liga / - / Gruppe  4";"116704";"So";"27.09.2020";"14:00";"Ostbärn FC b";"4.";"10368";"FC Länggasse";"4.";"10311";"Murifeld, Bern - Fussballfeld Murifeld";"Murifeld";"Bern";"Fussballfeld Murifeld";
"Meisterschaft";"";"3. Liga / - / Gruppe  5";"117535";"Sa";"03.10.2020";"";"FC Grünstern a";"3.";"10211";"FC Länggasse";"3.";"10311";"Gemeindesportplatz Ipsach, Ipsach - Hauptplatz";"Gemeindesportplatz Ipsach";"Ipsach";"Hauptplatz";
"Meisterschaft";"";"2. Liga / Regional / Gruppe  1";"111710";"Sa";"03.10.2020";"16:00";"AS Italiana";"2.";"10333";"FC Länggasse";"2.";"10311";"Weissenstein, Bern - Fussballfeld Weissenstein 1";"Weissenstein";"Bern";"Fussballfeld Weissenstein 1";
"Meisterschaft";"";"4. Liga / - / Gruppe  4";"116707";"So";"04.10.2020";"12:30";"FC Länggasse";"4.";"10311";"FC Hasle-Rüegsau";"4.";"10402";"Länggasse, Bern - Fussballfeld Länggasse";"Länggasse";"Bern";"Fussballfeld Länggasse";
"Meisterschaft";"";"Frauen 3. Liga / - / Gruppe  1";"113515";"Mi";"07.10.2020";"20:00";"FC Grosshöchstetten-Schlosswil";"3.LF";"10434";"FC Länggasse";"3.LF";"10311";"Mutti, Biglen - Nebenplatz";"Mutti";"Biglen";"Nebenplatz";
"Meisterschaft";"";"Senioren 30+ / MFV - Herbstrunde / Gruppe  2";"119215";"Fr";"09.10.2020";"20:45";"Team YB / Wyler";"Sen.30+";"10308";"FC Länggasse";"Sen.30+";"10311";"Wyler, Bern - Fussballfeld Wyler 2";"Wyler";"Bern";"Fussballfeld Wyler 2";
"Meisterschaft";"";"Juniorinnen FF-12 / Herbstrunde / -";"113891";"Sa";"10.10.2020";"11:30";"FC Länggasse";"FF-12";"10311";"FC Frutigen";"FF-12";"10504";"Länggasse, Bern - Fussballfeld Länggasse";"Länggasse";"Bern";"Fussballfeld Länggasse";
"Meisterschaft";"";"Junioren C 1. Stärkeklasse / Herbstrunde / Gruppe  2";"111660";"Sa";"10.10.2020";"14:00";"FC Länggasse a";"Jun.C 1/S";"10311";"FC Wyler a";"Jun.C 1/S";"10308";"Länggasse, Bern - Fussballfeld Länggasse";"Länggasse";"Bern";"Fussballfeld Länggasse";
"Meisterschaft";"";"Junioren B 2. Stärkeklasse / Herbstrunde / Gruppe  2";"112420";"Sa";"10.10.2020";"16:30";"FC Länggasse";"Jun.B 2/S";"10311";"FC Breitenrain b";"Jun.B 2/S";"10330";"Länggasse, Bern - Fussballfeld Länggasse";"Länggasse";"Bern";"Fussballfeld Länggasse";
"Meisterschaft";"";"4. Liga / - / Gruppe  4";"116717";"Sa";"10.10.2020";"17:30";"FC Münsingen";"4.";"10315";"FC Länggasse";"4.";"10311";"Sandreutenen, Münsingen - Kunststoffrasenplatz";"Sandreutenen";"Münsingen";"Kunststoffrasenplatz";
"Meisterschaft";"";"3. Liga / - / Gruppe  5";"117546";"Sa";"10.10.2020";"19:00";"FC Länggasse";"3.";"10311";"FC Aurore Bienne b";"3.";"10202";"Stadion Neufeld, Bern - Kunstrasenfeld Neufeld 1";"Stadion Neufeld";"Bern";"Kunstrasenfeld Neufeld 1";
"Meisterschaft";"";"2. Liga / Regional / Gruppe  1";"111711";"So";"11.10.2020";"16:15";"FC Bosporus";"2.";"10347";"FC Länggasse";"2.";"10311";"Wyler, Bern - Kunstrasenfeld Wyler";"Wyler";"Bern";"Kunstrasenfeld Wyler";
"Meisterschaft";"";"Junioren C 1. Stärkeklasse / Herbstrunde / Gruppe  2";"111661";"Sa";"17.10.2020";"";"FC Sternenberg";"Jun.C 1/S";"10397";"FC Länggasse a";"Jun.C 1/S";"10311";"Schlatt, Gasel - Hauptplatz";"Schlatt";"Gasel";"Hauptplatz";
"Meisterschaft";"";"Juniorinnen FF-12 / Herbstrunde / -";"113894";"Sa";"17.10.2020";"14:00";"FC Bern 1894";"FF-12";"10302";"FC Länggasse";"FF-12";"10311";"Stadion Neufeld, Bern - Kunstrasenfeld Neufeld 1";"Stadion Neufeld";"Bern";"Kunstrasenfeld Neufeld 1";
"Meisterschaft";"";"Senioren 30+ / MFV - Herbstrunde / Gruppe  2";"119217";"Sa";"17.10.2020";"14:00";"FC Länggasse";"Sen.30+";"10311";"FC Bolligen";"Sen.30+";"10346";"Länggasse, Bern - Fussballfeld Länggasse";"Länggasse";"Bern";"Fussballfeld Länggasse";
"Meisterschaft";"";"Junioren D/9 / MFV - Stkl. 2 - Herbstrunde / Gruppe  1";"126374";"Sa";"17.10.2020";"16:30";"FC Länggasse a";"Jun.D/9";"10311";"FC Sternenberg a";"Jun.D/9";"10397";"Länggasse, Bern - Fussballfeld Länggasse";"Länggasse";"Bern";"Fussballfeld Länggasse";
"Meisterschaft";"";"4. Liga / - / Gruppe  4";"116718";"Sa";"17.10.2020";"17:00";"FC Schönbühl";"4.";"10320";"FC Länggasse";"4.";"10311";"Sand West, Schönbühl - Sand West";"Sand West";"Schönbühl";"Sand West";
"Meisterschaft";"";"3. Liga / - / Gruppe  5";"117548";"Sa";"17.10.2020";"17:30";"FC Täuffelen";"3.";"10229";"FC Länggasse";"3.";"10311";"Rüti, Täuffelen - Hauptplatz";"Rüti";"Täuffelen";"Hauptplatz";
"Meisterschaft";"";"2. Liga / Regional / Gruppe  1";"111722";"So";"18.10.2020";"10:00";"FC Länggasse";"2.";"10311";"FC Muri-Gümligen";"2.";"10316";"Stadion Neufeld, Bern - Kunstrasenfeld Neufeld 1";"Stadion Neufeld";"Bern";"Kunstrasenfeld Neufeld 1";
"Meisterschaft";"";"Junioren D/9 / MFV - Stkl. 3 - Herbstrunde / Gruppe  2";"126579";"So";"18.10.2020";"10:00";"FC Länggasse b";"Jun.D/9";"10311";"SC Worb c";"Jun.D/9";"10328";"Länggasse, Bern - Fussballfeld Länggasse";"Länggasse";"Bern";"Fussballfeld Länggasse";
"Meisterschaft";"";"Junioren C 2. Stärkeklasse / Herbstrunde / Gruppe  3";"112564";"So";"18.10.2020";"12:30";"FC Länggasse b";"Jun.C 2/S";"10311";"FC Goldstern b";"Jun.C 2/S";"10306";"Länggasse, Bern - Fussballfeld Länggasse";"Länggasse";"Bern";"Fussballfeld Länggasse";
"Meisterschaft";"Null zu Null - Null Punkte";"Junioren B 2. Stärkeklasse / Herbstrunde / Gruppe  2";"112424";"So";"18.10.2020";"13:00";"AS Italiana";"Jun.B 2/S";"10333";"FC Länggasse";"Jun.B 2/S";"10311";"Weissenstein, Bern - Fussballfeld Weissenstein 1";"Weissenstein";"Bern";"Fussballfeld Weissenstein 1";
"Meisterschaft";"";"Frauen 3. Liga / - / Gruppe  1";"113523";"So";"18.10.2020";"15:00";"FC Länggasse";"3.LF";"10311";"SC Holligen 94";"3.LF";"10318";"Länggasse, Bern - Fussballfeld Länggasse";"Länggasse";"Bern";"Fussballfeld Länggasse";
"Meisterschaft";"";"Senioren 30+ / MFV - Herbstrunde / Gruppe  2";"119224";"Do";"22.10.2020";"20:00";"FC Weissenstein Bern";"Sen.30+";"10323";"FC Länggasse";"Sen.30+";"10311";"Weissenstein, Bern - Fussballfeld Weissenstein 1";"Weissenstein";"Bern";"Fussballfeld Weissenstein 1";
"Meisterschaft";"";"Junioren D/9 / MFV - Stkl. 3 - Herbstrunde / Gruppe  2";"126584";"Sa";"24.10.2020";"10:30";"SC Jegenstorf b";"Jun.D/9";"10343";"FC Länggasse b";"Jun.D/9";"10311";"Gyrisberg, Jegenstorf - Nebenplatz GyrisbergSpielwiese";"Gyrisberg";"Jegenstorf";"Nebenplatz GyrisbergSpielwiese";
"Meisterschaft";"";"Junioren D/9 / MFV - Stkl. 2 - Herbstrunde / Gruppe  1";"126378";"Sa";"24.10.2020";"11:30";"FC Bern 1894 b";"Jun.D/9";"10302";"FC Länggasse a";"Jun.D/9";"10311";"Stadion Neufeld, Bern - Kunstrasenfeld Neufeld 1";"Stadion Neufeld";"Bern";"Kunstrasenfeld Neufeld 1";
"Meisterschaft";"";"Juniorinnen FF-12 / Herbstrunde / -";"113896";"Sa";"24.10.2020";"14:00";"FC Länggasse";"FF-12";"10311";"FC Ostermundigen a";"FF-12";"10317";"Länggasse, Bern - Fussballfeld Länggasse";"Länggasse";"Bern";"Fussballfeld Länggasse";
"Meisterschaft";"";"2. Liga / Regional / Gruppe  1";"111724";"Sa";"24.10.2020";"16:00";"SC Bümpliz 78";"2.";"10303";"FC Länggasse";"2.";"10311";"Bodenweid, Bern - Kunstrasenfeld Bodenweid 1";"Bodenweid";"Bern";"Kunstrasenfeld Bodenweid 1";
"Meisterschaft";"";"3. Liga / - / Gruppe  5";"117557";"Sa";"24.10.2020";"16:30";"FC Länggasse";"3.";"10311";"FC Schüpfen";"3.";"10321";"Stadion Neufeld, Bern - Kunstrasenfeld Neufeld 1";"Stadion Neufeld";"Bern";"Kunstrasenfeld Neufeld 1";
"Meisterschaft";"";"Junioren B 2. Stärkeklasse / Herbstrunde / Gruppe  2";"112413";"So";"25.10.2020";"12:00";"SCI Esperia 1927";"Jun.B 2/S";"10362";"FC Länggasse";"Jun.B 2/S";"10311";"Murifeld, Bern - Fussballfeld Murifeld";"Murifeld";"Bern";"Fussballfeld Murifeld";
"Meisterschaft";"";"Junioren C 2. Stärkeklasse / Herbstrunde / Gruppe  3";"112557";"So";"25.10.2020";"12:30";"FC Länggasse b";"Jun.C 2/S";"10311";"SC Thörishaus a";"Jun.C 2/S";"10381";"Länggasse, Bern - Fussballfeld Länggasse";"Länggasse";"Bern";"Fussballfeld Länggasse";
"Meisterschaft";"";"4. Liga / - / Gruppe  4";"116729";"So";"25.10.2020";"15:00";"FC Länggasse";"4.";"10311";"SCI Esperia 1927";"4.";"10362";"Länggasse, Bern - Fussballfeld Länggasse";"Länggasse";"Bern";"Fussballfeld Länggasse";
